node_num,time,memory,dd_num
10,0.0,25888.0,43
20,0.0,25912.0,34
30,0.015564680099487305,25916.0,32
40,0.017668724060058594,25924.0,32
50,0.015542984008789062,25940.0,31
60,0.02109813690185547,25968.0,30
70,0.02385544776916504,25992.0,31
80,0.04386568069458008,26060.0,32
90,0.04688000679016113,26092.0,33
100,0.06840062141418457,26160.0,32
110,0.10298299789428711,26184.0,34
120,0.09694647789001465,26236.0,34
130,0.13153791427612305,26384.0,37
140,0.15340137481689453,26436.0,37
150,0.3095710277557373,26500.0,70
160,0.33054494857788086,26596.0,72
170,0.40139174461364746,26648.0,73
180,0.39960241317749023,26472.0,67
190,0.44380664825439453,26536.0,65
200,0.53525710105896,27260.0,70
210,0.5539257526397705,26796.0,67
220,0.6417834758758545,26848.0,72
230,0.6466281414031982,26880.0,67
240,0.7398643493652344,27292.0,69
250,0.7521584033966064,27332.0,67
260,0.8531522750854492,26872.0,68
270,0.94297194480896,27100.0,68
280,1.0272226333618164,26916.0,69
290,1.0838911533355713,26844.0,68
300,1.1853129863739014,26960.0,68
400,3.640786647796631,27096.0,123
500,5.635272741317749,28064.0,122
600,8.355958461761475,28664.0,126
700,10.946574926376343,28476.0,122
800,14.466679334640503,28860.0,124
900,17.925103664398193,28624.0,121
1000,22.306623220443726,29484.0,122
2000,91.83025193214417,30840.0,124
3000,151.91978478431702,34620.0,90
4000,275.27535367012024,39900.0,90
5000,812.5441937446594,59908.0,172
6000,1124.4371440410614,48000.0,172
7000,1327.6080012321472,51016.0,150
8000,1766.9444847106934,62012.0,152
9000,2285.543378353119,66516.0,156
10000,2774.6395540237427,73424.0,154
